t_unix_ns,t_unix_s,device_id,page,page_hex,page_name,speed_mps,distance_m,wheel_circumference_m
1773158676793509790,1773158676.79351,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158677041291629,1773158677.0412915,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158678032470396,1773158678.0324702,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158679023880494,1773158679.0238805,18412,1,0x01,bike_speed,nan,620.72148,2.20114
1773158680014216930,1773158680.014217,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158680757313969,1773158680.757314,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158681005178754,1773158681.005179,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158681252741011,1773158681.252741,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158681500693006,1773158681.500693,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158681748489847,1773158681.7484896,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158681996075402,1773158681.9960756,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158682244011753,1773158682.2440119,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158682491878248,1773158682.491878,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158682739673278,1773158682.7396734,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158682987391878,1773158682.987392,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158683235437612,1773158683.2354376,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158683730471415,1773158683.7304714,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158683978564479,1773158683.9785643,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158684474041853,1773158684.474042,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158684721879207,1773158684.7218792,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158684969255562,1773158684.9692557,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158685216931148,1773158685.216931,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158685960297590,1773158685.9602976,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158686207904013,1773158686.207904,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158686951252138,1773158686.9512522,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158687199176620,1773158687.1991768,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158687446891764,1773158687.4468918,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158687942228196,1773158687.9422283,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158688189865638,1773158688.1898658,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158688685490039,1773158688.68549,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158688933249691,1773158688.9332497,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158689181248769,1773158689.1812487,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158689924696957,1773158689.924697,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158690419774666,1773158690.4197748,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158690667538611,1773158690.6675386,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158690915148384,1773158690.9151483,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158691163006123,1773158691.1630063,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158691410920286,1773158691.4109201,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158691658522566,1773158691.6585226,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158691906232147,1773158691.906232,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158692401550070,1773158692.40155,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158692649544263,1773158692.6495442,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158693145150634,1773158693.1451507,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158693392864678,1773158693.3928647,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158693640644186,1773158693.640644,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158693888227262,1773158693.8882272,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158694135883065,1773158694.135883,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158694383557821,1773158694.3835578,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158694631291060,1773158694.6312912,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158695126817471,1773158695.1268175,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158695374482774,1773158695.3744826,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158695622260173,1773158695.6222603,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158695869903289,1773158695.8699033,18412,130,0x82,bike_speed,nan,620.72148,2.20114
1773158696613536953,1773158696.613537,18412,130,0x82,bike_speed,nan,620.72148,2.20114
1773158696861142486,1773158696.8611426,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158697108802699,1773158697.1088028,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158697356601139,1773158697.356601,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158697604616513,1773158697.6046164,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158697852267392,1773158697.8522675,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158698100163349,1773158698.1001632,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158698347970708,1773158698.3479707,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158698596002224,1773158698.5960023,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158698843573520,1773158698.8435736,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158699091163758,1773158699.0911636,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158699339121376,1773158699.3391213,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158699586605384,1773158699.5866053,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158699834418664,1773158699.8344188,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158700082229757,1773158700.0822299,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158700330027604,1773158700.3300276,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158700825466404,1773158700.8254664,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158701073050709,1773158701.0730507,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158701320715194,1773158701.3207152,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158701568462571,1773158701.5684626,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158701816057017,1773158701.8160572,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158702063977738,1773158702.0639777,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158702807205095,1773158702.8072052,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158703055087552,1773158703.0550876,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158703302953702,1773158703.3029537,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158703798235005,1773158703.798235,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158704046002622,1773158704.0460026,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158704293764783,1773158704.2937648,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158704541639762,1773158704.5416396,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158704789598522,1773158704.7895985,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158705037221764,1773158705.037222,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158705284847935,1773158705.284848,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158705532599370,1773158705.5325992,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158705780225523,1773158705.7802255,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158706028263110,1773158706.028263,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158706275994763,1773158706.2759948,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158706771406882,1773158706.771407,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158707019006769,1773158707.0190067,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158707266878165,1773158707.2668781,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158707762277372,1773158707.7622774,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158708257924287,1773158708.2579243,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158708505468226,1773158708.5054681,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158708753031684,1773158708.7530317,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158709001000192,1773158709.0010002,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158709248764545,1773158709.2487648,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158709496723996,1773158709.496724,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158709744363584,1773158709.7443635,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158709992207864,1773158709.9922078,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158710240004146,1773158710.240004,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158710487666030,1773158710.487666,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158710983041670,1773158710.9830418,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158711230967104,1773158711.230967,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158711726587010,1773158711.726587,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158712221746167,1773158712.2217462,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158712717168511,1773158712.7171683,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158712965042049,1773158712.965042,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158713212373876,1773158713.2123737,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158713460294305,1773158713.4602945,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158713708140361,1773158713.7081404,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158713955854709,1773158713.9558547,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158714203555772,1773158714.2035558,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158714451552500,1773158714.4515526,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158714699253126,1773158714.6992533,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158714946964252,1773158714.9469643,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158715194751155,1773158715.1947513,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158715442536062,1773158715.4425359,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158715690361582,1773158715.6903615,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158716185932784,1773158716.1859329,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158716433774083,1773158716.433774,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158716681639106,1773158716.6816392,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158716929068151,1773158716.929068,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158717424560486,1773158717.4245603,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158717672185651,1773158717.6721857,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158717920028675,1773158717.9200287,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158718167769272,1773158718.1677694,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158718663283911,1773158718.663284,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158718911025341,1773158718.9110255,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158719159134935,1773158719.1591349,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158719406349926,1773158719.40635,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158719654274809,1773158719.6542747,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158720149579823,1773158720.1495798,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158720397559007,1773158720.397559,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158720645230015,1773158720.64523,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158721140816936,1773158721.140817,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158721636092827,1773158721.636093,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158722131652405,1773158722.1316524,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158722379309993,1773158722.3793101,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158722627169885,1773158722.6271698,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158722875258653,1773158722.8752587,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158723122966905,1773158723.1229668,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158723370609071,1773158723.370609,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158723618114012,1773158723.618114,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158723865810736,1773158723.8658106,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158724113477066,1773158724.1134772,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158724361263390,1773158724.3612633,18412,133,0x85,bike_speed,nan,620.72148,2.20114
